SRC_ID,Segment,8_name,12_code,TotDASqKm,slope,length,wbody,s_order,Stream Type,Bedform,Ph2SedReg,Class,ElevDS_m,L_m,DA      _sqkm,W_reg      _m,W_Ph2      _m,W_rat,D_reg     _m,D_mn     _m,D_rat,V_mps,Rh_m,D95_mm,D84_mm,D95toD50,D84toD50,TSP,SSPup,SSPcr_Soar_D84,SSPcr_Lea_D84,logValue_Lea,tau_cr_D84,S,VC,VC_rat,ER,WtoD,IR,d50_mm,d84_d16,nBars,nFCs,pArmor,SSP,SSP_bal,SSPcr_rat_Soar,SSP_exc_Soar,SSPcr_rat_Lea,SSP_exc_Lea,RR,SSPtoD50,SSPfrXSsprdsht,Differen_SSP,RPD_SSP
95,19_M10C,mettawee,0201,35.1,0.008,481.3,FALSE,1,C4,Riffle Pool,FSTCD,4,261.5,481.3,35.1,12.6,12.8,1.0,0.640,0.430,0.672,0.84,0.42,239.8,207.8,4.5,3.9,638.3,126.3,337.2,981.1,456.6,160.3,0.800,30.9,5.1,11.9,30.1,1.6,53.7,201.2,39.5,6.2,0.06,50.8,0.40,0.15,-286.3516004,0.05,-930.3,2.04,946.6,28.1,-22.7,-44.7
96,19_M10D,mettawee,0201,34.8,0.02,301.7,FALSE,1,F3,Plane Bed,UST,3,265.2,301.7,34.8,12.5,10.1,0.8,0.638,0.381,0.597,1.11,0.37,247.1,228.7,1.9,1.8,1581.2,106.7,456.8,1275.4,109,228,2.000,6.1,0.8,1.2,18.3,2.8,128.0,133.8,9.9,0.0,0.15,126.3,1.18,0.28,-330.4876688,0.10,-1149.1,1.64,986.9,81.7,-44.7,-35.3
97,21_M04-,champlain,0402,148.7,0.00031027,2947,FALSE,1,C6,Dune Ripple,CEFD,5,47.9,2947.0,148.7,23.7,19.3,0.8,0.986,1.122,1.137,1.07,1.05,6.0,1.7,96.8,27.2,116.1,7.2,0.2,0.3,33334.2,0.5,0.031,63.3,2.1,46.8,17.2,1.0,0.1,1.6,0.0,1.0,0,4.9,0.68,30.57,4.735146453,15.68,4.6,621.02,78956.5,3.4,-1.5,-30.3
98,21_M05-,champlain,0401,116.6,0.000531971,2864.7,FALSE,1,E5,Dune Ripple,CEFD,5,48.8,2864.7,116.6,21.3,11.8,0.6,0.917,1.701,1.855,1.75,1.48,2.0,1.7,1.8,1.6,153.5,31.7,0.6,0.3,1302.1,0.6,0.053,29.7,3.3,61.5,6.9,1.0,1.1,1.7,2.1,1.0,0.01,7.2,0.23,11.24,6.560099121,25.89,6.9,859.38,6551.3,13.5,6.3,87.8
99,21_M06-,champlain,0401,111.9,0.00239952,508.1,FALSE,1,C3,Riffle Pool,CEFD,5,50.3,508.1,111.9,20.9,15.8,0.8,0.906,0.911,1.006,1.09,0.88,168.9,133.6,2.4,1.9,663.0,87.4,315.3,312.4,529.9,73.5,0.240,8.9,1.7,12.0,17.3,1.0,70.8,133.5,0.0,3.9,0,31.7,0.36,0.10,-283.6005947,0.10,-280.7,6.57,447.5,22.5,-9.1,-28.8
100,21_M07A,champlain,0401,102.6,0.007,717.5,FALSE,1,C3,Riffle Pool,CEFD,5,51.5,717.5,102.6,20.1,20.7,1.0,0.883,0.634,0.718,1.27,0.62,304.4,166.6,3.4,1.9,1761.3,236.9,360.4,596.1,240.3,123.8,0.700,5.2,2.8,4.7,32.4,1.1,90.0,147.8,2.8,0.0,0.01,87.4,0.37,0.24,-272.9923528,0.15,-508.7,3.73,971.3,54.2,-33.2,-38.0
101,21_M07B,champlain,0401,102.4,0.019,639.7,FALSE,1,B3c,Riffle Pool,TR,1,56.7,639.7,102.4,20.1,19.3,1.0,0.882,0.524,0.594,1.46,0.52,477.7,247.1,3.6,1.9,4769.9,6.2,507.0,1428.7,119.1,242.9,1.900,1.9,0.1,1.2,37.2,1.0,131.3,236.1,4.7,1.6,0,236.9,38.05,0.47,-270.0686802,0.17,-1191.8,2.11,1805.0,142.1,-94.9,-40.0
102,21_M08B,champlain,0401,93.4,0.002,570.6,FALSE,1,C6,Riffle Pool,CEFD,5,69.5,570.6,93.4,19.3,16.5,0.9,0.858,0.430,0.501,0.51,0.42,178.4,136.2,2877.0,2196.2,455.1,152.3,9.8,639.3,702771.5,71.2,0.200,13.7,3.5,5.3,38.6,1.0,0.1,136.1,12.3,5.3,0,23.5,0.15,2.40,13.72194652,0.04,-615.7,3.07,379654.2,4.2,-19.3,-82.1
103,21_M09A,champlain,0401,92.7,0.013,265.5,FALSE,1,B3c,Riffle Pool,UST,3,70.7,265.5,92.7,19.3,17.7,0.9,0.856,0.725,0.847,1.85,0.70,337.8,188.1,3.1,1.7,2935.4,105.4,386.8,841.6,144.5,166.2,1.300,3.9,1.9,1.9,24.2,1.9,108.2,148.8,3.8,0.0,0.11,152.3,1.45,0.39,-234.533016,0.18,-689.3,3.74,1407.3,166.1,13.8,9.0
104,21_M09B,champlain,0401,92.6,0.009,206.6,FALSE,1,B3c,Riffle Pool,TR,1,74.1,206.6,92.6,19.3,17.5,0.9,0.856,0.472,0.552,0.83,0.46,420.0,281.4,3.4,2.3,2029.0,35.0,673.4,1462.3,247.7,224.3,0.900,2.1,0.5,1.2,37.0,1.0,123.1,227.7,19.4,0.0,0,105.4,3.01,0.16,-568.0696513,0.07,-1356.9,1.64,855.9,33.7,-71.7,-68.0
